id	area	scope	reference	status	issue	code_evidence	data_evidence	client_evidence	acceptance	gaps
auth	Protocol	Authentication, realm handoff, reconnect, and account restrictions	c699217775d90794158422387b07a917e161b582:src/server/game/Server	partial	#15,#16,#17	#15,#16,#17	-	#15,#16,#17	Authenticate and reject invalid credentials/builds; preserve session isolation and reconnect behavior	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
wire	Protocol	Opcode dispatch, bit/GUID codecs, encryption, framing, and compression	c699217775d90794158422387b07a917e161b582:src/server/game/Server	partial	#12,#13,#14,#41	#12,#13,#14,#41	-	#12,#13,#14,#41	Account for every active registration; independent positive/negative codec and ordered-stream fixtures	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
login	Protocol	Enumeration, selection, world entry, logout, and reconnect	c699217775d90794158422387b07a917e161b582:src/server/game/Server	partial	#18,#19,#20,#25,#26,#27,#32,#43	#18,#19,#20,#25,#26,#27,#32,#43	-	#18,#19,#20,#25,#26,#27,#32,#43	Exercise populated and empty lists, admission failures, stable world entry, logout, and reconnect	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
object-fields	Protocol	All object field families, create/update/destroy, and observer visibility	c699217775d90794158422387b07a917e161b582:src/server/game/Server	partial	#36,#37,#40	#36,#37,#40	-	#36,#37,#40	Verify every field and mask, create/update/destroy transitions, and owner versus observer values	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
character-lifecycle	Characters	Creation, deletion, rename, appearance, and account ownership	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	#52	-	-	-	Create through UI, persist/reload, delete, and reject invalid names/combinations and foreign ownership	Full scope has not been inventoried or proven against the reference.
starting-state	Characters	Starting items, equipped slots, bags, skills, spells, action bars, and spawn/home bind	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	blocked	#52,#57	-	apps/cata/fixtures/plan22-starting-data-audit.json	-	Compare every supported race/class/gender starting profile to pinned data; no missing or duplicate grants	Blocked by #57: Human Warrior outfit differs and required Cata action spells are missing; other profiles remain unverified.
race-class-matrix	Characters	All Cata race/class combinations, including Goblin and Worgen	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	#52,#57	-	-	-	Explicitly enumerate allowed combinations, expansion gates, models, racials, and starting experiences	Full scope has not been inventoried or proven against the reference.
progression	Characters	Levels 1-85, XP, stats, resources, regeneration, and skill caps	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Compare per-level inputs and derived stats; validate level transitions and persistence	Full scope has not been inventoried or proven against the reference.
talents	Characters	Specializations, talent rules, resets, glyphs, and dual spec	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Apply and switch legal configurations; reject illegal choices and restore after login	Full scope has not been inventoried or proven against the reference.
professions	Characters	Gathering, crafting, recipes, skill gains, and cooldowns	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Consume/produce correct items and skills, enforce requirements, and persist cooldowns	Full scope has not been inventoried or proven against the reference.
archaeology	Characters	Dig sites, fragments, keystones, research, and archaeology rewards	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Verify dig-site eligibility, research costs, rewards, and persistence	Full scope has not been inventoried or proven against the reference.
reputation	Characters	Reputation gains, spillover, discounts, and faction restrictions	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Compare faction rules and deltas; restore standing and vendor effects	Full scope has not been inventoried or proven against the reference.
achievements	Characters	Criteria, progress, account/character scope, and rewards	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Trigger representative criteria and enumerate all criteria/data bindings; preserve progress	Full scope has not been inventoried or proven against the reference.
collections	Characters	Titles, mounts, companions, tabards, and collection persistence	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Acquire, use, and restore supported collections with correct eligibility	Full scope has not been inventoried or proven against the reference.
character-services	Characters	Resurrection sickness, rest, bind, barber, and customization services	c699217775d90794158422387b07a917e161b582:src/server/game/Entities/Player	unassessed	-	-	-	-	Exercise fees, restrictions, state transitions, and persistence for each service	Full scope has not been inventoried or proven against the reference.
ground-movement	Movement and maps	Forward/backward, strafe, turn, facing, walk/run, stop, and heartbeat	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	partial	#33,#53	#33	-	#33	Process a keyboard route and observer updates with unchanged mover/anti-cheat checks	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
jump-fall	Movement and maps	Jump, falling, landing, fall resets, and fall damage	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	#53	-	-	-	Leave ground, land, clear fall state, and compare damage rules; reject invalid trajectories	Full scope has not been inventoried or proven against the reference.
speed-acks	Movement and maps	Every speed type, movement mode change, and matching acknowledgement	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	partial	#34	#34	-	#34	Validate counters/speeds and reject stale, duplicate, unsolicited, or forged acknowledgements	Closed issues prove only their bounded scenarios; remaining scope needs independent evidence.
swim-fly	Movement and maps	Swimming, flying, pitch, water transitions, and breath	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	-	-	-	-	Cross air/water/ground transitions and verify restrictions, resources, and observers	Full scope has not been inventoried or proven against the reference.
teleport	Movement and maps	Near/far teleports, map transfer, summons, and acknowledgements	c699217775d90794158422387b07a917e161b582:src/server/game/Movement	unassessed	-	-	-	-	Transfer maps and return with correct position/state; reject spoofed or stale acknowledgements	Full scope has not been inventoried or proven against the reference.
